TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000054,AC00055,169.5,9/7/2023 16:51,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,11/4/2024 8:08
TX000055,AC00419,104.63,3/29/2023 17:47,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,11/4/2024 8:10
TX000056,AC00374,316.95,8/4/2023 17:53,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,11/4/2024 8:09
TX000057,AC00271,60.54,12/14/2023 17:52,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,11/4/2024 8:09
TX000058,AC00456,292.56,3/3/2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,11/4/2024 8:07
TX000059,AC00143,386.52,6/9/2023 16:18,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,11/4/2024 8:07
TX000060,AC00427,112.07,10/2/2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,11/4/2024 8:11
TX000061,AC00438,568.52,10/6/2023 18:44,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,11/4/2024 8:06
TX000062,AC00002,263.99,5/16/2023 16:07,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,11/4/2024 8:11
TX000063,AC00425,349.64,11/7/2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,11/4/2024 8:08
TX000064,AC00325,601.4,5/30/2023 17:43,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,11/4/2024 8:08
TX000065,AC00434,5.77,11/2/2023 16:01,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,11/4/2024 8:11
TX000066,AC00242,201.33,3/29/2023 17:00,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,11/4/2024 8:11
TX000067,AC00319,298.42,4/25/2023 16:11,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,11/4/2024 8:10
TX000068,AC00460,521.06,4/18/2023 18:40,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,11/4/2024 8:12
TX000069,AC00461,117.28,2/9/2023 16:34,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,11/4/2024 8:07
TX000070,AC00395,189.12,11/13/2023 16:42,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,11/4/2024 8:08
TX000071,AC00217,133.55,7/18/2023 16:12,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,11/4/2024 8:10
TX000072,AC00053,143.21,1/13/2023 17:00,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,11/4/2024 8:09
TX000073,AC00282,24.77,7/4/2023 18:20,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,11/4/2024 8:12
TX000074,AC00110,233.92,10/20/2023 16:54,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,11/4/2024 8:08
TX000075,AC00265,1212.51,10/4/2023 16:36,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,11/4/2024 8:06
TX000076,AC00239,232.12,12/28/2023 17:31,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,11/4/2024 8:09
TX000077,AC00007,162.63,6/12/2023 17:53,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,11/4/2024 8:08
TX000078,AC00022,91.53,3/13/2023 16:32,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,11/4/2024 8:11
TX000079,AC00464,120.29,12/18/2023 18:46,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,11/4/2024 8:06
TX000080,AC00014,174.25,7/17/2023 18:54,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,11/4/2024 8:10
TX000081,AC00406,183.71,6/19/2023 18:22,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,11/4/2024 8:09
TX000082,AC00445,345.39,10/23/2023 17:13,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,11/4/2024 8:08
TX000083,AC00236,922.55,1/23/2023 16:32,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,11/4/2024 8:11
TX000084,AC00220,259.91,11/6/2023 16:34,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,11/4/2024 8:09
TX000085,AC00140,154.71,7/3/2023 16:40,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,11/4/2024 8:09
TX000086,AC00098,1340.19,9/29/2023 17:22,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,11/4/2024 8:06
TX000087,AC00303,24.56,10/20/2023 17:27,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,11/4/2024 8:12
TX000088,AC00373,568.07,8/28/2023 17:03,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,11/4/2024 8:07
TX000089,AC00438,9.61,6/22/2023 18:37,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,11/4/2024 8:09
TX000090,AC00437,392.96,11/20/2023 16:28,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,11/4/2024 8:08
TX000091,AC00106,716.93,9/14/2023 16:49,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,11/4/2024 8:08
TX000092,AC00310,223.85,10/2/2023 16:36,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,11/4/2024 8:08
TX000093,AC00149,230.66,3/27/2023 18:16,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,11/4/2024 8:10
TX000094,AC00373,442.12,12/21/2023 16:37,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,11/4/2024 8:08
TX000095,AC00425,644.17,3/2/2023 16:05,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,11/4/2024 8:08
TX000096,AC00010,508.68,6/26/2023 16:16,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,11/4/2024 8:09
TX000097,AC00348,858.63,4/18/2023 17:27,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,11/4/2024 8:10
TX000098,AC00011,25.36,7/17/2023 17:08,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,11/4/2024 8:11
TX000099,AC00453,147.62,9/1/2023 17:26,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,11/4/2024 8:07
TX000100,AC00178,115.02,9/11/2023 16:19,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,11/4/2024 8:08
TX000101,AC00265,383.37,1/24/2023 17:23,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,11/4/2024 8:11
TX000102,AC00018,98.54,8/11/2023 16:18,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,11/4/2024 8:10
TX000103,AC00075,83.24,10/16/2023 18:35,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,11/4/2024 8:10
TX000104,AC00464,196.16,2/24/2023 16:29,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,11/4/2024 8:08
TX000105,AC00170,129.94,1/2/2023 16:36,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,11/4/2024 8:06
TX000106,AC00235,306.9,11/30/2023 16:31,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,11/4/2024 8:10
TX000107,AC00013,114.98,11/1/2023 16:52,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,11/4/2024 8:09
TX000108,AC00397,756.59,3/6/2023 16:47,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,11/4/2024 8:11
TX000109,AC00423,503.76,11/27/2023 18:32,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,11/4/2024 8:09
TX000110,AC00154,143.03,7/31/2023 16:37,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63,Retired,147,1,7981.45,11/4/2024 8:10
TX000111,AC00068,1045.22,11/22/2023 16:13,Debit,Columbus,D000400,77.7.223.184,M077,ATM,53,Retired,73,1,1829.9,11/4/2024 8:07
TX000112,AC00318,245.54,3/21/2023 16:29,Debit,New York,D000536,44.197.126.59,M089,ATM,25,Student,180,1,985.06,11/4/2024 8:10
TX000113,AC00396,254.37,4/20/2023 18:26,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1,8849.26,11/4/2024 8:06
TX000114,AC00121,213.76,3/1/2023 17:52,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,11/4/2024 8:09
TX000115,AC00336,327.86,2/10/2023 16:52,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,11/4/2024 8:06
TX000116,AC00468,2.5,7/21/2023 16:43,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,11/4/2024 8:09
TX000117,AC00282,300.08,10/9/2023 17:02,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,11/4/2024 8:12
TX000118,AC00498,56.98,1/1/2024 16:34,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,11/4/2024 8:07
TX000119,AC00085,407.65,7/7/2023 16:11,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,11/4/2024 8:06
TX000120,AC00092,115.83,5/22/2023 17:09,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,11/4/2024 8:10
TX000121,AC00295,53.57,8/16/2023 16:17,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,11/4/2024 8:08
TX000122,AC00358,63.34,11/17/2023 16:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,11/4/2024 8:10
TX000123,AC00311,317.87,5/22/2023 17:29,Debit,Detroit,D000314,79.227.202.117,M076,Online,27,Student,91,1,145.5,11/4/2024 8:11
TX000124,AC00066,331.65,8/25/2023 17:26,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,11/4/2024 8:11
TX000125,AC00340,5.04,11/27/2023 16:38,Debit,Washington,D000021,63.67.150.226,M001,ATM,56,Retired,41,1,5558.36,11/4/2024 8:10
TX000126,AC00284,214.54,8/4/2023 17:46,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,11/4/2024 8:11
TX000127,AC00208,598.81,9/4/2023 16:48,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,11/4/2024 8:10
TX000128,AC00176,841.28,8/9/2023 17:34,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,11/4/2024 8:09
TX000129,AC00053,38.15,9/7/2023 16:07,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,11/4/2024 8:07
TX000130,AC00320,1036.66,7/11/2023 16:39,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,11/4/2024 8:09
TX000131,AC00382,124.72,7/3/2023 17:14,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,11/4/2024 8:07
TX000132,AC00384,302.45,9/25/2023 17:13,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,78,Retired,40,1,5133.61,11/4/2024 8:11
TX000133,AC00203,208.04,11/20/2023 17:10,Debit,Louisville,D000339,65.27.212.129,M055,Online,47,Engineer,273,1,9344.98,11/4/2024 8:08
TX000134,AC00498,5.77,11/17/2023 17:27,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,23,Student,254,1,1117.97,11/4/2024 8:10
TX000135,AC00349,381.33,8/21/2023 16:46,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,56,Doctor,75,1,11835.35,11/4/2024 8:09
TX000136,AC00177,16.16,10/16/2023 16:59,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50,Doctor,124,1,14401.17,11/4/2024 8:11
TX000137,AC00284,486.08,6/20/2023 17:21,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,18,Student,68,1,1748.69,11/4/2024 8:07
TX000138,AC00272,336.39,1/16/2023 16:53,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,21,Student,18,1,1000.46,11/4/2024 8:09
TX000139,AC00405,997.43,11/22/2023 16:07,Debit,Seattle,D000661,100.4.40.132,M067,Online,69,Doctor,118,1,6810.05,11/4/2024 8:08
TX000140,AC00385,234.57,9/1/2023 16:09,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,263.98,11/4/2024 8:08
TX000141,AC00403,6,10/23/2023 18:38,Debit,Chicago,D000556,18.72.115.111,M090,Online,30,Doctor,246,1,5442.76,11/4/2024 8:09
TX000142,AC00114,1049.92,10/23/2023 16:50,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1,2037.85,11/4/2024 8:10
TX000143,AC00163,227.14,7/3/2023 17:42,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18,Student,294,1,341.94,11/4/2024 8:11
TX000144,AC00108,233.74,10/24/2023 16:41,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,11/4/2024 8:11
TX000145,AC00397,113.02,9/25/2023 16:54,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,69,Retired,166,1,6077.96,11/4/2024 8:07
TX000146,AC00434,45.85,2/16/2023 17:57,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,20,Student,92,1,1659.15,11/4/2024 8:07
TX000147,AC00385,973.39,8/30/2023 17:23,Debit,Sacramento,D000292,202.194.199.70,M026,Branch,77,Retired,296,1,2042.22,11/4/2024 8:11
TX000148,AC00161,514.95,4/13/2023 18:37,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,421.93,11/4/2024 8:10
TX000149,AC00333,415.5,7/28/2023 16:29,Debit,Memphis,D000330,140.212.253.222,M077,ATM,66,Doctor,141,1,10113.66,11/4/2024 8:10
TX000150,AC00279,265.76,2/6/2023 17:48,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,54,Retired,92,1,4446.17,11/4/2024 8:12
TX000151,AC00072,69.4,7/24/2023 18:08,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,80,Retired,113,1,6452.77,11/4/2024 8:09
TX000152,AC00242,332.93,11/20/2023 16:29,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,35,Engineer,293,1,2788.2,11/4/2024 8:08
TX000153,AC00303,267.9,10/9/2023 16:52,Debit,San Antonio,D000605,216.32.4.105,M078,Online,20,Student,160,1,596.16,11/4/2024 8:08
TX000154,AC00442,496.03,11/3/2023 16:45,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,61,Doctor,265,1,12904.66,11/4/2024 8:09
TX000155,AC00087,376.26,2/15/2023 16:41,Debit,Tucson,D000481,82.88.241.226,M081,ATM,37,Engineer,245,1,9062.4,11/4/2024 8:09
TX000156,AC00174,83.02,9/4/2023 17:59,Credit,Seattle,D000226,34.92.221.183,M058,Online,36,Engineer,171,1,9009.56,11/4/2024 8:11
TX000157,AC00421,93.26,7/27/2023 16:22,Credit,New York,D000436,182.225.2.156,M092,Online,20,Student,72,1,1152.2,11/4/2024 8:12
TX000158,AC00111,803.37,4/17/2023 16:08,Credit,Memphis,D000108,191.91.45.159,M030,Branch,68,Doctor,129,1,12168.37,11/4/2024 8:08
TX000159,AC00275,35.76,9/19/2023 17:38,Debit,Charlotte,D000678,111.78.64.133,M057,Branch,23,Student,122,1,611.86,11/4/2024 8:11
TX000160,AC00492,28.53,5/31/2023 16:37,Debit,Washington,D000310,215.97.143.157,M035,Online,62,Doctor,99,1,8670.53,11/4/2024 8:06
TX000161,AC00380,139.53,10/9/2023 17:20,Credit,Louisville,D000491,167.104.180.235,M002,Online,53,Doctor,177,1,10098.86,11/4/2024 8:07
TX000162,AC00227,307.57,1/9/2023 16:12,Debit,Detroit,D000076,128.16.32.183,M049,Branch,33,Doctor,285,1,5307.74,11/4/2024 8:06
TX000163,AC00257,60.65,5/26/2023 18:15,Credit,Tucson,D000456,10.144.131.89,M085,Branch,56,Retired,53,1,1047.28,11/4/2024 8:09
TX000164,AC00062,74.86,8/14/2023 17:43,Debit,Nashville,D000115,161.168.126.136,M028,Branch,70,Doctor,125,1,6921.48,11/4/2024 8:07
TX000165,AC00383,117.97,11/24/2023 18:51,Debit,Kansas City,D000281,198.39.35.23,M100,Branch,51,Retired,137,1,1475.46,11/4/2024 8:09
TX000166,AC00182,231.91,1/31/2023 18:31,Debit,Memphis,D000371,161.71.2.223,M044,ATM,34,Engineer,165,1,112.76,11/4/2024 8:12
TX000167,AC00478,126.21,2/14/2023 16:07,Debit,Baltimore,D000001,141.121.30.32,M001,Branch,75,Retired,268,1,5669.66,11/4/2024 8:08
TX000168,AC00332,506.28,5/2/2023 17:03,Credit,Chicago,D000606,110.150.1.201,M010,Online,53,Retired,162,2,1309.95,11/4/2024 8:09
TX000169,AC00202,304.35,12/4/2023 17:07,Debit,Houston,D000281,183.39.94.209,M007,Branch,31,Engineer,36,1,4057.1,11/4/2024 8:08
TX000170,AC00331,281.85,5/16/2023 17:26,Debit,Detroit,D000148,219.193.239.152,M013,ATM,22,Student,109,1,1585.98,11/4/2024 8:07
TX000171,AC00474,777.88,3/20/2023 16:58,Debit,Houston,D000436,139.23.212.102,M018,Branch,31,Engineer,17,1,6825.55,11/4/2024 8:09
TX000172,AC00268,119.18,8/25/2023 18:01,Debit,Los Angeles,D000309,7.105.184.86,M093,Branch,56,Retired,96,1,5516.5,11/4/2024 8:07
TX000173,AC00247,177.19,5/15/2023 17:25,Debit,Chicago,D000666,130.92.201.49,M088,Online,76,Retired,43,1,5343.3,11/4/2024 8:06
TX000174,AC00298,260.88,5/29/2023 16:50,Debit,Denver,D000327,184.59.28.72,M094,Branch,22,Student,36,1,903.05,11/4/2024 8:06
